pl_hostname,pl_letter,pl_name,pl_discmethod,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,st_mass,st_masserr1,st_masserr2,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_masse,pl_masseerr1,pl_masseerr2
PSR B1257+12,b,PSR B1257+12 b,Pulsar Timing,0.19,0,0,0,0,,,0,1.4,0,0,0.00006,0.00001,-0.00001,0,0.02,0.002,-0.002
TRAPPIST-1,d,TRAPPIST-1 d,Transit,0.02144,0.00066,-0.00063,0,0.07,,,1,0.08,0.01,-0.01,0.00129,0.00085,-0.00085,0,0.41,0.27,-0.27
KOI-55,b,KOI-55 b,Orbital Brightness Modulation,0.006,0,0,0,,,,,0.5,0,0,0.0014,0,0,0,0.44,0,0
TRAPPIST-1,e,TRAPPIST-1 e,Transit,0.02817,0.00083,-0.00087,0,0.085,,,1,0.08,0.01,-0.01,0.00195,0.00182,-0.00182,0,0.62,0.58,-0.58
KOI-55,c,KOI-55 c,Orbital Brightness Modulation,0.0076,0,0,0,,,,,0.5,0,0,0.0021,0,0,0,0.655,0,0
TRAPPIST-1,f,TRAPPIST-1 f,Transit,0.0371,0.0011,-0.0011,0,0.063,,,1,0.08,0.01,-0.01,0.00214,0.00057,-0.00057,0,0.68,0.18,-0.18
GJ 9827,c,GJ 9827 c,Transit,0.03925,0.00042,-0.00029,0,0,,,0,0.61,0.02,-0.01,0.00264,0,0,0,0.84,0,0
TRAPPIST-1,b,TRAPPIST-1 b,Transit,0.01111,0.00034,-0.00034,0,0.081,,,1,0.08,0.01,-0.01,0.00267,0.00227,-0.00227,0,0.85,0.72,-0.72
TRAPPIST-1,g,TRAPPIST-1 g,Transit,0.0451,0.0014,-0.0014,0,0.061,,,1,0.08,0.01,-0.01,0.00422,0.00277,-0.00277,0,1.34,0.88,-0.88
TRAPPIST-1,c,TRAPPIST-1 c,Transit,0.01521,0.00047,-0.00047,0,0.083,,,1,0.08,0.01,-0.01,0.00434,0.00192,-0.00192,0,1.38,0.61,-0.61
OGLE-2016-BLG-1195L,b,OGLE-2016-BLG-1195L b,Microlensing,1.16,0.16,-0.13,0,,,,,0.08,0.02,-0.01,0.0045,0.00142,-0.00101,0,1.43,0.45,-0.32
GJ 1132,b,GJ 1132 b,Transit,0.0153,0.0005,-0.0005,0,0.22,,,1,0.18,0.02,-0.02,0.00522,0.00072,-0.00072,0,1.66,0.23,-0.23
LHS 1140,c,LHS 1140 c,Transit,0.02675,0.0007,-0.0007,0,0.31,,,1,0.18,0.01,-0.01,0.00569,0.00123,-0.00123,0,1.81,0.39,-0.39
GJ 357,b,GJ 357 b,Transit,0.035,0.002,-0.002,0,,,,0,0.34,0.01,-0.01,0.00579,0.00098,-0.00098,0,1.84,0.31,-0.31
Kepler-11,b,Kepler-11 b,Transit,0.091,0.001,-0.001,0,0.045,0.068,-0.042,0,0.96,0.03,-0.03,0.006,0.004,-0.003,0,1.9,1.4,-1
Kepler-11,f,Kepler-11 f,Transit,0.25,0.002,-0.002,0,0.013,0.011,-0.009,0,0.96,0.03,-0.03,0.006,0.003,-0.003,0,2,0.8,-0.9
Kepler-47,b,Kepler-47 b,Transit,0.2877,0.0014,-0.0011,0,0.021,0.0025,-0.0022,0,0.96,0.01,-0.01,0.00651,0.07457,-0.00651,0,2.07,23.7,-2.07
Kepler-51,b,Kepler-51 b,Transit,0.2514,0.0097,-0.0097,0,0.04,0.01,-0.01,0,1.04,0.12,-0.12,0.007,0.005,-0.003,0,2.1,1.5,-0.8
LTT 1445 A,b,LTT 1445 A b,Transit,0.03807,0.00068,-0.00071,0,0.19,0.35,-0.14,0,0.26,0.01,-0.01,0.00692,0.00535,-0.00661,0,2.2,1.7,-2.1
OGLE-2013-BLG-0341L B,b,OGLE-2013-BLG-0341L B b,Microlensing,0.883,0.043,-0.043,0,,,,,0.15,0.01,-0.01,0.0073,0.0008,-0.0008,0,2.32,0.27,-0.27
Kepler-11,c,Kepler-11 c,Transit,0.107,0.001,-0.001,0,0.026,0.063,-0.013,0,0.96,0.03,-0.03,0.009,0.009,-0.005,0,2.9,2.9,-1.6
Kepler-47,c,Kepler-47 c,Transit,0.9638,0.0041,-0.0044,0,0.044,0.029,-0.019,0,0.96,0.01,-0.01,0.00997,0.00686,-0.00393,0,3.17,2.18,-1.25
MOA-2013-BLG-605L,b,MOA-2013-BLG-605L b,Microlensing,0.94,0.67,-0.02,0,,,,,0.03,0.01,0,0.01007,0.00157,-0.00094,0,3.2,0.5,-0.3
OGLE-2017-BLG-0173L,b,OGLE-2017-BLG-0173L b,Microlensing,3.913,1.615,-1.649,0,,,,0,0.4,0.39,-0.23,0.01029,0.01211,-0.00634,0,3.269,3.849,-2.015
MOA-2007-BLG-192L,b,MOA-2007-BLG-192L b,Microlensing,0.62,0.22,-0.16,0,,,,,0.06,0.03,-0.02,0.01,0.015,-0.005,0,3.3,4.9,-1.6
Kepler-107,b,Kepler-107 b,Transit,0.04544,0.00035,-0.00035,0,0,,,0,1.24,0.03,-0.03,0.01104,0.00478,-0.00478,0,3.51,1.52,-1.52
GJ 143,c,HD 21749 c,Transit,0.0695,0.0021,-0.0023,0,,,,0,0.73,0.07,-0.07,0.01164,0,0,1,3.7,0,0
Kepler-101,c,Kepler-101 c,Transit,0.0684,0.0014,-0.0014,0,0,,,0,1.17,0.07,-0.05,0.01,0,0,1,3.78,0,0
Kepler-107,d,Kepler-107 d,Transit,0.08377,0.00065,-0.00065,0,0,,,0,1.24,0.03,-0.03,0.01196,0,0,1,3.8,0,0
K2-36,b,K2-36 b,Transit,0.0223,0.0004,-0.0004,0,0,,,0,0.79,0.01,-0.01,0.01227,0.00346,-0.00346,0,3.9,1.1,-1.1
PSR B1257+12,d,PSR B1257+12 d,Pulsar Timing,0.46,0,0,0,,,,0,1.4,0,0,0.01227,0.00063,-0.00063,0,3.9,0.2,-0.2
Kepler-289,d,Kepler-289 d,Transit,0.33,0.02,-0.02,0,,,,,1.08,0.02,-0.02,0.013,0.003,-0.003,0,4,0.9,-0.9
Kepler-51,c,Kepler-51 c,Transit,0.384,0.015,-0.015,0,0.014,0.013,-0.009,0,1.04,0.12,-0.12,0.013,0.001,-0.001,0,4,0.4,-0.4
Kepler-62,c,Kepler-62 c,Transit,0.0929,0.0009,-0.0009,0,,,,,0.69,0.02,-0.02,0.013,0,0,1,4,0,0
GJ 9827,d,GJ 9827 d,Transit,0.05591,0.00059,-0.00041,0,0,,,0,0.61,0.02,-0.01,0.01271,0.00258,-0.00264,0,4.04,0.82,-0.84
Kepler-79,e,Kepler-79 e,Transit,0.386,0.005,-0.005,0,0.012,0.044,-0.005,0,1.17,0.04,-0.04,0.013,0.0038,-0.0035,0,4.1,1.2,-1.1
Kepler-80,e,Kepler-80 e,Transit,0.0491,0.0007,-0.0007,0,,,,,0.73,0.03,-0.03,0.01299,0.00255,-0.00299,0,4.13,0.81,-0.95
PSR B1257+12,c,PSR B1257+12 c,Pulsar Timing,0.36,0,0,0,0.0186,0.0002,-0.0002,0,1.4,0,0,0.01353,0.00063,-0.00063,0,4.3,0.2,-0.2
HD 219134,c,HD 219134 c,Radial Velocity,0.0653,0.0008,-0.0008,0,0.062,0.039,-0.039,0,0.81,0.03,-0.03,0.01372,0.00069,-0.00069,0,4.36,0.22,-0.22
OGLE-2017-BLG-1434L,b,OGLE-2017-BLG-1434L b,Microlensing,1.18,0.1,-0.1,0,,,,0,0.23,0.03,-0.03,0.014,0.002,-0.002,0,4.44962,0.63566,-0.63566
Kepler-36,b,Kepler-36 b,Transit,0.1153,0.0015,-0.0015,0,0.039,,,1,1.07,0.04,-0.04,0.014,0.001,-0.001,0,4.45,0.33,-0.27
KOI-1599,c,KOI-1599.01,Transit,0.14728,0,0,0,0.014,,,0,1.02,0,0,0.01447,0.00094,-0.00094,0,4.6,0.3,-0.3
Kepler-10,b,Kepler-10 b,Transit,0.0172,0.00081,-0.00168,0,,,,,0.91,0.02,-0.02,0.0145,0.004,-0.0046,0,4.60853,1.27132,-1.46202
HD 219134,b,HD 219134 b,Radial Velocity,0.03876,0.00047,-0.00047,0,0,,,0,0.81,0.03,-0.03,0.01491,0.0006,-0.0006,0,4.74,0.19,-0.19
HD 39091,c,pi Men c,Transit,0.06839,0.0005,-0.0005,0,0,,,0,1.09,0.04,-0.04,0.01517,0.00264,-0.00271,0,4.82,0.84,-0.86
GJ 9827,b,GJ 9827 b,Transit,0.0188,0.0002,-0.00014,0,0,,,0,0.61,0.02,-0.01,0.01545,0.00154,-0.00154,0,4.91,0.49,-0.49
Kepler-1655,b,Kepler-1655 b,Transit,0.103,0.001,-0.001,0,,,,0,1.03,0.04,-0.04,0.01573,0.00975,-0.00881,0,5,3.1,-2.8
Kepler-21,b,Kepler-21 b,Transit,0.042717,0,0,0,0.02,0.1,-0.1,0,1.41,0.02,-0.03,0.01598,0.00541,-0.00541,0,5.08,1.72,-1.72
OGLE-2005-BLG-390L,b,OGLE-2005-BLG-390L b,Microlensing,2.6,1.5,-0.6,0,,,,,0.22,0.21,-0.11,0.017,0.017,-0.008,0,5.5,5.5,-2.7
CoRoT-24,b,CoRoT-24 b,Transit,0.056,0.002,-0.002,0,0,,,0,0.91,0.09,-0.09,0.018,0,0,1,5.7,0,0
Kepler-79,c,Kepler-79 c,Transit,0.187,0.002,-0.003,0,0.03,0.027,-0.021,0,1.17,0.04,-0.04,0.019,0.006,-0.0072,0,5.9,1.9,-2.3
Kepler-79,d,Kepler-79 d,Transit,0.287,0.004,-0.004,0,0.025,0.059,-0.023,0,1.17,0.04,-0.04,0.019,0.0066,-0.005,0,6,2.1,-1.6
GJ 1214,b,GJ 1214 b,Transit,0.01411,0.00032,-0.00032,0,,,,,0.15,0.01,-0.01,0.0197,0.0027,-0.0027,0,6.26125,0.85814,-0.85814
Kepler-87,c,Kepler-87 c,Transit,0.676,0.037,-0.04,0,0.039,0.012,-0.012,0,1.1,0.05,-0.05,0.02,0.003,-0.003,0,6.4,0.8,-0.8
K2-291,b,K2-291 b,Transit,0.03261,0.00044,-0.00044,0,0,,,0,0.93,0.04,-0.04,0.02042,0.00365,-0.00365,0,6.49,1.16,-1.16
K2-285,d,K2-285 d,Transit,0.1178,0.0029,-0.0029,0,0,,,0,0.83,0.02,-0.02,0.02045,0,0,1,6.5,0,0
K2-265,b,K2-265 b,Transit,0.03376,0.00021,-0.00021,0,0.084,0.079,-0.079,0,0.92,0.02,-0.02,0.02058,0.00264,-0.00264,0,6.54,0.84,-0.84
MOA-2012-BLG-505L,b,MOA-2012-BLG-505L b,Microlensing,0.9,0.25,-0.21,0,,,,,0.1,0.16,-0.05,0.02108,0.03338,-0.01104,0,6.7,10.61,-3.51
Kepler-80,c,Kepler-80 c,Transit,0.0792,0.0011,-0.0011,0,,,,,0.73,0.03,-0.03,0.02121,0.00387,-0.00271,0,6.74,1.23,-0.86
Kepler-80,d,Kepler-80 d,Transit,0.0372,0.0005,-0.0005,0,,,,,0.73,0.03,-0.03,0.02124,0.00217,-0.0016,0,6.75,0.69,-0.51
GJ 876,d,GJ 876 d,Radial Velocity,0.020807,0,0,0,0.207,0.055,-0.055,0,0.32,0.03,-0.03,0.021,0.001,-0.001,0,6.83,0.4,-0.4
Kepler-18,b,Kepler-18 b,Transit,0.0447,0.0006,-0.0006,0,0,,,0,0.97,0.04,-0.04,0.022,0.011,-0.011,0,6.9,3.4,-3.4
Kepler-80,b,Kepler-80 b,Transit,0.0648,0.0009,-0.0009,0,,,,,0.73,0.03,-0.03,0.0218,0.0033,-0.0022,0,6.93,1.05,-0.7
LHS 1140,b,LHS 1140 b,Transit,0.0936,0.0024,-0.0024,0,0.06,,,1,0.18,0.01,-0.01,0.02196,0.0028,-0.0028,0,6.98,0.89,-0.89
HD 219134,f,HD 219134 f,Radial Velocity,0.1463,0.0018,-0.0018,0,0.148,0.047,-0.047,0,0.81,0.03,-0.03,0.02297,0.00126,-0.00126,-1,7.3,0.4,-0.4
Kepler-11,d,Kepler-11 d,Transit,0.155,0.001,-0.001,0,0.004,0.007,-0.002,0,0.96,0.03,-0.03,0.023,0.003,-0.005,0,7.3,0.8,-1.5
Kepler-289,b,Kepler-289 b,Transit,0.21,0.01,-0.01,0,,,,,1.08,0.02,-0.02,0.023,0.021,-0.021,0,7.3,6.8,-6.8
HD 15337,b,HD 15337 b,Transit,0.0522,0.0012,-0.0012,0,0.09,0.05,-0.05,0,0.9,0.03,-0.03,0.02363,0.00343,-0.00318,0,7.51,1.09,-1.01
Kepler-51,d,Kepler-51 d,Transit,0.509,0.02,-0.02,0,0.008,0.011,-0.008,0,1.04,0.12,-0.12,0.024,0.003,-0.003,0,7.6,1.1,-1.1
K2-36,c,K2-36 c,Transit,0.054,0.001,-0.001,0,0,,,0,0.79,0.01,-0.01,0.02454,0.00724,-0.00724,0,7.8,2.3,-2.3
K2-216,b,K2-216 b,Transit,0.028,0.003,-0.007,0,0,,,0,0.7,0.03,-0.03,0.02517,0.00503,-0.00503,0,8,1.6,-1.6
Kepler-11,e,Kepler-11 e,Transit,0.195,0.002,-0.002,0,0.012,0.006,-0.006,0,0.96,0.03,-0.03,0.025,0.005,-0.007,0,8,1.5,-2.1
55 Cnc,e,55 Cnc e,Radial Velocity,0.01544,0.00009,-0.00009,0,,,,0,0.91,0.01,-0.01,0.02542,0.00098,-0.00098,0,8.08,0.31,-0.31
Kepler-36,c,Kepler-36 c,Transit,0.1283,0.0016,-0.0016,0,0.033,,,1,1.07,0.04,-0.04,0.025,0.002,-0.001,0,8.08,0.6,-0.46
HD 15337,c,HD 15337 c,Transit,0.1268,0.0038,-0.0038,0,0.05,0.06,-0.04,0,0.9,0.03,-0.03,0.02552,0.00573,-0.00532,0,8.11,1.82,-1.69
CoRoT-7,c,CoRoT-7 c,Radial Velocity,0.046,0,0,0,0,,,0,0.82,0.17,-0.17,0.02643,0.00283,-0.00283,0,8.4,0.9,-0.9
GJ 3634,b,GJ 3634 b,Radial Velocity,0.0287,0.001,-0.0011,0,0.08,0.094,-0.057,0,0.45,0.05,-0.05,0.026,0.013,-0.005,0,8.4,4,-1.5
K2-111,b,K2-111 b,Transit,0.0621,0.0092,-0.0085,0,0,,,0,0.88,0.02,-0.02,0.02706,0.01227,-0.01227,0,8.6,3.9,-3.9
Kepler-107,e,Kepler-107 e,Transit,0.12639,0.00099,-0.00099,0,0,,,0,1.24,0.03,-0.03,0.02706,0.01133,-0.01133,0,8.6,3.6,-3.6
HD 213885,b,HD 213885 b,Transit,0.02012,0.00015,-0.00012,0,0,,,0,1.07,0.02,-0.02,0.02778,0.00208,-0.00205,0,8.83,0.66,-0.65
K2-266,d,K2-266 d,Transit,0.1035,0.0016,-0.0017,0,0.047,0.043,-0.032,0,0.69,0.03,-0.03,0.028,0.01793,-0.01196,0,8.9,5.7,-3.8
K2-18,b,K2-18 b,Transit,0.1429,0.006,-0.0065,0,0.2,0.08,-0.08,0,0.36,0.05,-0.05,0.02807,0.00535,-0.00503,0,8.92,1.7,-1.6
KOI-1599,b,KOI-1599.02,Transit,0.112293,0,0,0,0.0114,,,0,1.02,0,0,0.02832,0.00094,-0.00094,0,9,0.3,-0.3
Kepler-62,b,Kepler-62 b,Transit,0.0553,0.0005,-0.0005,0,,,,,0.69,0.02,-0.02,0.03,0,0,1,9,0,0
OGLE-2017-BLG-0482L,b,OGLE-2017-BLG-0482L b,Microlensing,1.8,0.6,-0.7,0,,,,0,0.2,0.2,-0.1,0.02832,0.02832,-0.01416,0,9,9,-4.5
MOA-2010-BLG-328L,b,MOA-2010-BLG-328L b,Microlensing,0.92,0.16,-0.16,0,,,,,0.11,0.01,-0.01,0.02895,0.00692,-0.00692,0,9.2,2.2,-2.2
TCP J05074264+2447555,b,TCP J05074264+2447555 b,Microlensing,0.5,0,0,0,,,,0,0.25,0.18,-0.18,0.02895,0.02077,-0.02077,0,9.2,6.6,-6.6
Kepler-107,c,Kepler-107 c,Transit,0.06064,0.00047,-0.00047,0,0,,,0,1.24,0.03,-0.03,0.02954,0.00557,-0.00557,0,9.39,1.77,-1.77
K2-285,b,K2-285 b,Transit,0.03817,0.00095,-0.00092,0,0,,,0,0.83,0.02,-0.02,0.03046,0.00381,-0.00431,0,9.68,1.21,-1.37
Kepler-20,b,Kepler-20 b,Transit,0.0463,0.0009,-0.0015,0,0.03,0.09,-0.03,0,0.95,0.05,-0.05,0.03052,0.00444,-0.00453,0,9.7,1.41,-1.44
K2-38,c,K2-38 c,Transit,0.0964,0.0016,-0.0016,0,,,,,2.24,1.67,-1.67,0.03115,0.01447,-0.01447,0,9.9,4.6,-4.6
Kepler-20,d,Kepler-20 d,Transit,0.3506,0.0081,-0.0101,0,,,,,0.95,0.05,-0.05,0.03168,0.01249,-0.01164,0,10.07,3.97,-3.7
MOA-2009-BLG-266L,b,MOA-2009-BLG-266L b,Microlensing,3.2,1.9,-0.5,0,,,,,0.56,0.09,-0.09,0.033,0.005,-0.005,0,10.4,1.7,-1.7
KOI-94,b,KOI-94 b,Transit,0.05119,0.00067,-0.00067,0,0.25,0.17,-0.17,0,1.28,0.05,-0.05,0.033,0.014,-0.014,0,10.5,4.6,-4.6
Kepler-538,b,Kepler-538 b,Transit,0.4669,0.0087,-0.009,0,0.041,0.034,-0.029,0,0.89,0.05,-0.04,0.03335,0.00787,-0.00755,0,10.6,2.5,-2.4
K2-285,e,K2-285 e,Transit,0.18041,0.0042,-0.0043,0,0,,,0,0.83,0.02,-0.02,0.03367,0,0,1,10.7,0,0
Kepler-411,e,Kepler-411 e,Transit Timing Variations,0.186,0.003,-0.003,0,0.016,0.002,-0.001,0,0.87,0.04,-0.04,0.03398,0.00346,-0.00346,0,10.8,1.1,-1.1
K2-290,b,K2-290 b,Transit,0.0923,0.0066,-0.0066,0,0,,,0,1.19,0.07,-0.08,0.0343,0,0,1,10.9,0,0
Kepler-79,b,Kepler-79 b,Transit,0.117,0.002,-0.002,0,0.015,0.012,-0.006,0,1.17,0.04,-0.04,0.0343,0.023,-0.019,0,10.9,7.4,-6
Kepler-30,b,Kepler-30 b,Transit,0.18,0,0,0,0.042,0.003,-0.003,0,0.99,0.08,-0.08,0.036,0.004,-0.004,0,11.3,1.4,-1.4
Kepler-82,b,Kepler-82 b,Transit,0.1683,0.002,-0.002,0,0.0033,0.0019,-0.00017,0,0.91,0.03,-0.03,0.03823,0.00302,-0.00274,0,12.15,0.96,-0.87
CoRoT-22,b,CoRoT-22 b,Transit,0.092,0.0014,-0.0014,0,0.077,0.3,-0.042,0,1.1,0.05,-0.05,0.038,0.044,-0.028,0,12.2,14,-8.8
HD 106315,b,HD 106315 b,Transit,0.0907,0.001,-0.001,0,0.093,0.11,-0.068,0,1.09,0.04,-0.04,0.03964,0.01007,-0.01007,0,12.6,3.2,-3.2
Kepler-20,c,Kepler-20 c,Transit,0.0949,0.0027,-0.0023,0,0.16,0.01,-0.09,0,0.95,0.05,-0.05,0.04012,0.00683,-0.00705,0,12.75,2.17,-2.24
GJ 3470,b,GJ 3470 b,Radial Velocity,0.0355,0.0019,-0.0019,0,,,,,0.54,0.05,-0.04,0.04373,0.00472,-0.00472,0,13.9,1.5,-1.5
Kepler-82,c,Kepler-82 c,Transit,0.2626,0.0032,-0.0032,0,0.007,0.0016,-0.0018,0,0.91,0.03,-0.03,0.04373,0.00409,-0.00378,0,13.9,1.3,-1.2
OGLE-2018-BLG-0596L,b,OGLE-2018-BLG-0596L b,Microlensing,0.97,0.13,-0.13,0,,,,0,0.23,0.03,-0.03,0.04383,0.00491,-0.00491,0,13.93,1.56,-1.56
Kepler-62,d,Kepler-62 d,Transit,0.12,0.001,-0.001,0,,,,,0.69,0.02,-0.02,0.044,0,0,1,14,0,0
OGLE-2005-BLG-169L,b,OGLE-2005-BLG-169L b,Microlensing,3.5,0.3,-0.3,0,,,,,0.69,0.02,-0.02,0.04436,0.00283,-0.00283,0,14.1,0.9,-0.9
K2-266,e,K2-266 e,Transit,0.1249,0.0019,-0.002,0,0.043,0.036,-0.03,0,0.69,0.03,-0.03,0.04499,0.02014,-0.01573,0,14.3,6.4,-5
GJ 876,e,GJ 876 e,Radial Velocity,0.3343,0.0013,-0.0013,0,0.055,0.012,-0.012,0,0.32,0.03,-0.03,0.046,0.005,-0.005,0,14.6,1.7,-1.7
K2-263,b,K2-263 b,Transit,0.2573,0.0029,-0.0029,0,0.14,,,1,0.88,0.03,-0.03,0.04657,0.00975,-0.00975,0,14.8,3.1,-3.1
HD 106315,c,HD 106315 c,Transit,0.1536,0.0017,-0.0017,0,0.22,0.15,-0.15,0,1.09,0.04,-0.04,0.04782,0.01164,-0.01164,0,15.2,3.7,-3.7
Kepler-411,d,Kepler-411 d,Transit,0.279,0.004,-0.004,0,0.128,0.003,-0.003,0,0.87,0.04,-0.04,0.04782,0.01605,-0.01605,0,15.2,5.1,-5.1
KOI-94,c,KOI-94 c,Transit,0.1013,0.0013,-0.0013,0,0.43,0.23,-0.23,0,1.28,0.05,-0.05,0.049,0.018,-0.049,0,15.6,5.7,-15.6
K2-285,c,K2-285 c,Transit,0.0824,0.0018,-0.0018,0,0,,,0,0.83,0.02,-0.02,0.04933,0.00717,-0.0067,0,15.68,2.28,-2.13
Kepler-453,b,Kepler-453 b,Transit,0.7903,0.0028,-0.0028,0,0.0359,0.0088,-0.0088,0,0.94,0.01,-0.01,0.05034,0,0,1,16,0,0
HD 219134,d,HD 219134 d,Radial Velocity,0.237,0.003,-0.003,0,0.138,0.025,-0.025,0,0.81,0.03,-0.03,0.05088,0.00201,-0.00201,-1,16.17,0.64,-0.64
Kepler-18,d,Kepler-18 d,Transit,0.1172,0.0017,-0.0017,0,0,,,0,0.97,0.04,-0.04,0.052,0.004,-0.004,0,16.4,1.4,-1.4
HD 219666,b,HD 219666 b,Transit,0.06356,0.00265,-0.00265,0,0,,,0,0.92,0.03,-0.03,0.05223,0.00409,-0.00409,0,16.6,1.3,-1.3
HD 23472,c,HD 23472 c,Transit,0.17,0.001,-0.001,0,0,,,0,0.75,0.04,-0.03,0.05405,0.00337,-0.04333,0,17.18,1.07,-13.77
Kepler-18,c,Kepler-18 c,Transit,0.0752,0.0011,-0.0011,0,0,,,0,0.97,0.04,-0.04,0.054,0.006,-0.006,0,17.3,1.9,-1.9
OGLE-2015-BLG-1670L,b,OGLE-2015-BLG-1670L b,Microlensing,2.62,0.58,-0.6,0,,,,0,0.55,0.28,-0.28,0.05632,0.0302,-0.02769,0,17.9,9.6,-8.8
HD 23472,b,HD 23472 b,Transit,0.121,0.001,-0.001,0,0,,,0,0.75,0.04,-0.03,0.05638,0.00444,-0.04405,0,17.92,1.41,-14
MOA-2011-BLG-262L,b,MOA-2011-BLG-262L b,Microlensing,0.84,0.25,-0.14,0,,,,,0.12,0.19,-0.06,0.05663,0.0881,-0.03146,0,18,28,-10
MOA-2011-BLG-291L,b,MOA-2011-BLG-291L b,Microlensing,0.69,0.24,-0.24,0,,,,0,0.15,0.27,-0.1,0.05663,0.10698,-0.03776,0,18,34,-12
